0.100,FLEXION1 (Half-1),- FLEX2-T (Q),FLEX2-B (Q)
15647336.0,-358.97314,-224.64085,-371.38915
15647419.0,-152.92694,-57.60876,-231.95533
15647474.0,-66.2398,26.70649,-130.92925
15647517.0,-25.98225,65.00133,-97.1853
15647563.0,-16.04727,73.25969,-89.09224
15647609.0,56.88221,132.73324,-22.08445
15647653.0,136.83985,232.83262,75.37519
15647706.0,249.52914,327.80381,169.67992
15647771.0,374.94078,476.38779,296.42547
15647846.0,507.71903,611.25222,454.30872
15647930.0,667.55466,736.25989,610.75169
15648025.0,736.70129,788.40747,687.29283
15648167.0,768.13881,824.70431,706.0166
15648274.0,663.83153,734.79469,598.68068
15648401.0,448.86575,532.46475,384.55752
15648515.0,223.50707,301.63012,131.88944
15648628.0,-16.98303,71.9943,-92.93302
15648742.0,-84.5767,3.19679,-167.75953
15648856.0,-331.75649,-218.64688,-381.26543
15648970.0,-522.47217,-378.8858,-567.13146
15649084.0,-571.2511,-413.65085,-610.75169
15649237.0,-471.12487,-337.92697,-515.21243
15649351.0,-293.11163,-195.27037,-358.08361
15649465.0,-77.80738,17.44913,-141.62855
15649579.0,-3.0661,70.7289,-87.9263
15649693.0,208.43538,308.2901,151.50483
15649798.0,433.71442,515.88142,356.23181
15649901.0,613.00189,704.15882,544.6355
15650005.0,720.6341,774.08853,668.91198
15650110.0,779.66657,827.8345,716.51015
15650254.0,689.55495,756.1732,623.43996
15650358.0,521.23776,626.37035,470.63201
15650453.0,347.84358,427.30379,264.12181
15650548.0,137.61633,237.4946,64.81306
