0.100,TORSION (Full-0),FLEXION1 (Half-1),- FLEX2-T (Q),FLEX2-B (Q),F-TOR1,REF+1200,REF-1200,F-TOR2,F-FLEX,Mark#
15647336.0,-176.31004,-358.97314,-224.64085,-371.38915,13.03773,1200.0,-1200.0,-381.45878,-674.56941,
15647419.0,5.32253,-152.92694,-57.60876,-231.95533,-313.28607,1200.0,-1200.0,-267.90435,-324.66474,
15647474.0,3.71085,-66.2398,26.70649,-130.92925,-407.77457,1200.0,-1200.0,-366.31819,-138.36818,
15647517.0,4.20828,-25.98225,65.00133,-97.1853,-441.82088,1200.0,-1200.0,-390.79148,-34.97477,
15647563.0,4.57638,-16.04727,73.25969,-89.09224,-390.79148,1200.0,-1200.0,-361.11111,-38.9001,
15647609.0,3.18357,56.88221,132.73324,-22.08445,-284.12641,1200.0,-1200.0,-233.69783,99.66434,
15647653.0,-0.17908,136.83985,232.83262,75.37519,-228.41064,1200.0,-1200.0,-211.027,231.00617,
15647706.0,0.90533,249.52914,327.80381,169.67992,-232.17576,1200.0,-1200.0,-191.92101,424.9964,
15647771.0,2.02953,374.94078,476.38779,296.42547,-184.67115,1200.0,-1200.0,-147.38044,631.4692,
15647846.0,7.81964,507.71903,611.25222,454.30872,-256.44877,1200.0,-1200.0,-182.54827,899.80534,
15647930.0,218.33316,667.55466,736.25989,610.75169,-899.56341,1200.0,-1200.0,126.83249,1169.79011,
15648025.0,508.31652,736.70129,788.40747,687.29283,-1242.18938,1200.0,-1200.0,1131.95946,1333.47673,
15648167.0,454.35502,768.13881,824.70431,706.0166,-900.3645,1200.0,-1200.0,1061.06305,1384.03509,
15648274.0,236.12135,663.83153,734.79469,598.68068,-292.45774,1200.0,-1200.0,641.97308,1118.99623,
15648401.0,-11.32157,448.86575,532.46475,384.55752,249.67956,1200.0,-1200.0,178.94336,730.54474,
15648515.0,-4.49679,223.50707,301.63012,131.88944,392.71409,1200.0,-1200.0,342.84627,286.27493,
15648628.0,-5.21309,-16.98303,71.9943,-92.93302,128.87527,1200.0,-1200.0,66.71073,-46.59377,
15648742.0,0.7561,-84.5767,3.19679,-167.75953,96.95185,1200.0,-1200.0,78.24642,-200.38853,
15648856.0,-10.23716,-331.75649,-218.64688,-381.26543,166.96708,1200.0,-1200.0,78.92734,-775.52912,
15648970.0,-409.61592,-522.47217,-378.8858,-567.13146,1142.21341,1200.0,-1200.0,-711.58776,-1272.94801,
15649084.0,-601.56525,-571.2511,-413.65085,-610.75169,1388.70864,1200.0,-1200.0,-1322.97925,-1422.11087,
15649237.0,-355.98273,-471.12487,-337.92697,-515.21243,626.0314,1200.0,-1200.0,-875.53072,-1079.50733,
15649351.0,-69.5013,-293.11163,-195.27037,-358.08361,-25.93527,1200.0,-1200.0,-297.06401,-634.37395,
15649465.0,3.67105,-77.80738,17.44913,-141.62855,-398.92253,1200.0,-1200.0,-359.30866,-140.8804,
15649579.0,5.68068,-3.0661,70.7289,-87.9263,-353.50076,1200.0,-1200.0,-292.45774,-14.40599,
15649693.0,0.66656,208.43538,308.2901,151.50483,-240.98774,1200.0,-1200.0,-222.24225,358.10863,
15649798.0,3.12388,433.71442,515.88142,356.23181,-203.61692,1200.0,-1200.0,-156.43275,734.94112,
15649901.0,93.62678,613.00189,704.15882,544.6355,-607.84667,1200.0,-1200.0,-24.97396,1041.35304,
15650005.0,488.91664,720.6341,774.08853,668.91198,-1281.64303,1200.0,-1200.0,1069.47449,1282.99688,
15650110.0,538.72955,779.66657,827.8345,716.51015,-1163.96299,1200.0,-1200.0,1218.95778,1415.5163,
15650254.0,284.48176,689.55495,756.1732,623.43996,-414.06313,1200.0,-1200.0,684.6311,1181.88016,
15650358.0,27.04044,521.23776,626.37035,470.63201,-2.82384,1200.0,-1200.0,92.98646,843.7515,
15650453.0,-9.29204,347.84358,427.30379,264.12181,365.91765,1200.0,-1200.0,298.58608,534.0423,
15650548.0,-2.89506,137.61633,237.4946,64.81306,350.89722,1200.0,-1200.0,295.82232,180.68333,
